time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1667900291.012,SCAI-SENSEI,sensei-103,0.922,-0.256,0.275,1.4529999999999998,2022-11-08 09:38:11.012000084
1667900291.022,SCAI-SENSEI,sensei-103,0.932,-0.27,0.271,1.4729999999999999,2022-11-08 09:38:11.022000074
1667900291.032,SCAI-SENSEI,sensei-103,0.928,-0.258,0.27,1.456,2022-11-08 09:38:11.032000065
1667900291.042,SCAI-SENSEI,sensei-103,0.926,-0.275,0.277,1.4780000000000002,2022-11-08 09:38:11.042000055
1667900291.052,SCAI-SENSEI,sensei-103,0.934,-0.275,0.281,1.4900000000000002,2022-11-08 09:38:11.052000046
1667900291.062,SCAI-SENSEI,sensei-103,0.938,-0.273,0.252,1.4629999999999999,2022-11-08 09:38:11.062000036
1667900291.072,SCAI-SENSEI,sensei-103,0.939,-0.277,0.252,1.468,2022-11-08 09:38:11.072000027
1667900291.082,SCAI-SENSEI,sensei-103,0.939,-0.285,0.252,1.476,2022-11-08 09:38:11.082000017
1667900291.092,SCAI-SENSEI,sensei-103,0.939,-0.289,0.25,1.478,2022-11-08 09:38:11.092000008
1667900291.102,SCAI-SENSEI,sensei-103,0.938,-0.295,0.252,1.4849999999999999,2022-11-08 09:38:11.101999998
1667900291.112,SCAI-SENSEI,sensei-103,0.939,-0.305,0.27,1.514,2022-11-08 09:38:11.111999989
1667900291.122,SCAI-SENSEI,sensei-103,0.934,-0.303,0.277,1.5140000000000002,2022-11-08 09:38:11.121999979
1667900291.132,SCAI-SENSEI,sensei-103,0.934,-0.316,0.26,1.51,2022-11-08 09:38:11.131999969
1667900291.142,SCAI-SENSEI,sensei-103,0.947,-0.326,0.256,1.529,2022-11-08 09:38:11.141999960
1667900291.152,SCAI-SENSEI,sensei-103,0.943,-0.322,0.283,1.5479999999999998,2022-11-08 09:38:11.151999950
1667900291.162,SCAI-SENSEI,sensei-103,0.939,-0.309,0.305,1.553,2022-11-08 09:38:11.161999941
1667900291.172,SCAI-SENSEI,sensei-103,0.93,-0.303,0.303,1.536,2022-11-08 09:38:11.171999931
1667900291.182,SCAI-SENSEI,sensei-103,0.928,-0.307,0.262,1.497,2022-11-08 09:38:11.181999922
1667900291.192,SCAI-SENSEI,sensei-103,0.918,-0.314,0.258,1.49,2022-11-08 09:38:11.191999912
1667900291.202,SCAI-SENSEI,sensei-103,1.008,-0.264,0.355,1.627,2022-11-08 09:38:11.201999903
1667900291.212,SCAI-SENSEI,sensei-103,0.98,-0.258,0.375,1.613,2022-11-08 09:38:11.211999893
1667900291.222,SCAI-SENSEI,sensei-103,0.938,-0.26,0.283,1.4809999999999999,2022-11-08 09:38:11.221999884
1667900291.232,SCAI-SENSEI,sensei-103,0.877,-0.33,0.238,1.445,2022-11-08 09:38:11.232000113
1667900291.242,SCAI-SENSEI,sensei-103,0.895,-0.387,0.254,1.536,2022-11-08 09:38:11.242000103
1667900291.252,SCAI-SENSEI,sensei-103,0.91,-0.348,0.266,1.524,2022-11-08 09:38:11.252000092
1667900291.262,SCAI-SENSEI,sensei-103,0.922,-0.307,0.281,1.5100000000000002,2022-11-08 09:38:11.262000084
1667900291.272,SCAI-SENSEI,sensei-103,0.938,-0.273,0.227,1.438,2022-11-08 09:38:11.272000074
1667900291.282,SCAI-SENSEI,sensei-103,0.945,-0.268,0.264,1.477,2022-11-08 09:38:11.282000065
1667900291.292,SCAI-SENSEI,sensei-103,0.92,-0.238,0.26,1.418,2022-11-08 09:38:11.292000055
1667900291.302,SCAI-SENSEI,sensei-103,0.916,-0.223,0.232,1.371,2022-11-08 09:38:11.302000046
1667900291.312,SCAI-SENSEI,sensei-103,0.951,-0.229,0.234,1.414,2022-11-08 09:38:11.312000036
1667900291.322,SCAI-SENSEI,sensei-103,0.984,-0.244,0.242,1.47,2022-11-08 09:38:11.322000027
1667900291.332,SCAI-SENSEI,sensei-103,1.055,-0.215,0.195,1.465,2022-11-08 09:38:11.332000017
1667900291.342,SCAI-SENSEI,sensei-103,1.227,0.01,0.012,1.249,2022-11-08 09:38:11.342000008
1667900291.352,SCAI-SENSEI,sensei-103,1.074,-0.07,-0.072,1.2160000000000002,2022-11-08 09:38:11.351999998
1667900291.362,SCAI-SENSEI,sensei-103,1.146,0.027,0.055,1.2279999999999998,2022-11-08 09:38:11.361999989
1667900291.372,SCAI-SENSEI,sensei-103,1.211,-0.143,0.15,1.504,2022-11-08 09:38:11.371999979
1667900291.382,SCAI-SENSEI,sensei-103,1.307,-0.066,0.197,1.57,2022-11-08 09:38:11.381999969
