projectId,userId,time,x,y,z,1d_signal,timestamp
SCAI-SENSEI,user_sensei_103,1667897856.074,-826,1690,780,3296,2022-11-08 08:57:36.073999882
SCAI-SENSEI,user_sensei_103,1667897856.274,-830,1689,776,3295,2022-11-08 08:57:36.273999929
SCAI-SENSEI,user_sensei_103,1667897856.474,-829,1693,781,3303,2022-11-08 08:57:36.473999977
SCAI-SENSEI,user_sensei_103,1667897856.674,-799,1713,777,3289,2022-11-08 08:57:36.674000025
SCAI-SENSEI,user_sensei_103,1667897856.874,-805,1710,771,3286,2022-11-08 08:57:36.874000072
SCAI-SENSEI,user_sensei_103,1667897857.074,-835,1701,738,3274,2022-11-08 08:57:37.073999882
SCAI-SENSEI,user_sensei_103,1667897857.274,-819,1719,737,3275,2022-11-08 08:57:37.273999929
SCAI-SENSEI,user_sensei_103,1667897857.474,-801,1748,709,3258,2022-11-08 08:57:37.473999977
SCAI-SENSEI,user_sensei_103,1667897857.674,-808,1708,691,3207,2022-11-08 08:57:37.674000025
SCAI-SENSEI,user_sensei_103,1667897857.874,-834,1716,714,3264,2022-11-08 08:57:37.874000072
SCAI-SENSEI,user_sensei_103,1667897858.074,-812,1723,716,3251,2022-11-08 08:57:38.073999882
SCAI-SENSEI,user_sensei_103,1667897858.274,-791,1690,696,3177,2022-11-08 08:57:38.273999929
SCAI-SENSEI,user_sensei_103,1667897858.474,-775,1696,736,3207,2022-11-08 08:57:38.473999977
SCAI-SENSEI,user_sensei_103,1667897858.674,-756,1752,758,3266,2022-11-08 08:57:38.674000025
SCAI-SENSEI,user_sensei_103,1667897858.874,-729,1745,731,3205,2022-11-08 08:57:38.874000072
SCAI-SENSEI,user_sensei_103,1667897859.074,-749,1776,756,3281,2022-11-08 08:57:39.073999882
SCAI-SENSEI,user_sensei_103,1667897859.274,-709,1750,668,3127,2022-11-08 08:57:39.273999929
SCAI-SENSEI,user_sensei_103,1667897859.474,-752,1831,710,3293,2022-11-08 08:57:39.473999977
SCAI-SENSEI,user_sensei_103,1667897859.674,-778,1804,733,3315,2022-11-08 08:57:39.674000025
SCAI-SENSEI,user_sensei_103,1667897859.874,-843,1728,654,3225,2022-11-08 08:57:39.874000072
SCAI-SENSEI,user_sensei_103,1667897860.074,-802,1734,697,3233,2022-11-08 08:57:40.073999882
SCAI-SENSEI,user_sensei_103,1667897860.274,-758,1752,726,3236,2022-11-08 08:57:40.273999929
SCAI-SENSEI,user_sensei_103,1667897860.474,-864,1673,685,3222,2022-11-08 08:57:40.473999977
SCAI-SENSEI,user_sensei_103,1667897860.674,-764,1827,727,3318,2022-11-08 08:57:40.674000025
SCAI-SENSEI,user_sensei_103,1667897860.874,-800,1734,658,3192,2022-11-08 08:57:40.874000072
SCAI-SENSEI,user_sensei_103,1667897861.074,-835,1748,658,3241,2022-11-08 08:57:41.073999882
SCAI-SENSEI,user_sensei_103,1667897861.274,-860,1745,648,3253,2022-11-08 08:57:41.273999929
SCAI-SENSEI,user_sensei_103,1667897861.474,-830,1759,650,3239,2022-11-08 08:57:41.473999977
SCAI-SENSEI,user_sensei_103,1667897861.674,-834,1749,687,3270,2022-11-08 08:57:41.674000025
SCAI-SENSEI,user_sensei_103,1667897861.874,-801,1746,663,3210,2022-11-08 08:57:41.874000072
SCAI-SENSEI,user_sensei_103,1667897862.074,-866,1705,693,3264,2022-11-08 08:57:42.073999882
SCAI-SENSEI,user_sensei_103,1667897862.274,-866,1727,700,3293,2022-11-08 08:57:42.273999929
SCAI-SENSEI,user_sensei_103,1667897862.474,-846,1764,687,3297,2022-11-08 08:57:42.473999977
SCAI-SENSEI,user_sensei_103,1667897862.674,-852,1726,700,3278,2022-11-08 08:57:42.674000025
SCAI-SENSEI,user_sensei_103,1667897862.874,-850,1706,676,3232,2022-11-08 08:57:42.874000072
SCAI-SENSEI,user_sensei_103,1667897863.074,-819,1732,663,3214,2022-11-08 08:57:43.073999882
SCAI-SENSEI,user_sensei_103,1667897863.274,-825,1739,690,3254,2022-11-08 08:57:43.273999929
SCAI-SENSEI,user_sensei_103,1667897863.474,-814,1738,679,3231,2022-11-08 08:57:43.473999977
SCAI-SENSEI,user_sensei_103,1667897863.674,-820,1744,682,3246,2022-11-08 08:57:43.674000025
SCAI-SENSEI,user_sensei_103,1667897863.874,-808,1739,658,3205,2022-11-08 08:57:43.874000072
SCAI-SENSEI,user_sensei_103,1667897864.074,-833,1741,683,3257,2022-11-08 08:57:44.073999882
SCAI-SENSEI,user_sensei_103,1667897864.274,-823,1745,685,3253,2022-11-08 08:57:44.273999929
SCAI-SENSEI,user_sensei_103,1667897864.474,-818,1737,693,3248,2022-11-08 08:57:44.473999977
SCAI-SENSEI,user_sensei_103,1667897864.674,-819,1737,681,3237,2022-11-08 08:57:44.674000025
SCAI-SENSEI,user_sensei_103,1667897864.874,-814,1739,703,3256,2022-11-08 08:57:44.874000072
SCAI-SENSEI,user_sensei_103,1667897865.074,-827,1731,688,3246,2022-11-08 08:57:45.073999882
SCAI-SENSEI,user_sensei_103,1667897865.274,-833,1715,717,3265,2022-11-08 08:57:45.273999929
SCAI-SENSEI,user_sensei_103,1667897865.474,-801,1786,668,3255,2022-11-08 08:57:45.473999977
SCAI-SENSEI,user_sensei_103,1667897865.674,-750,1859,685,3294,2022-11-08 08:57:45.674000025
SCAI-SENSEI,user_sensei_103,1667897865.874,-909,1669,704,3282,2022-11-08 08:57:45.874000072
SCAI-SENSEI,user_sensei_103,1667897866.074,-898,1618,720,3236,2022-11-08 08:57:46.073999882
SCAI-SENSEI,user_sensei_103,1667897866.274,-750,1748,706,3204,2022-11-08 08:57:46.273999929
SCAI-SENSEI,user_sensei_103,1667897866.474,-773,1728,774,3275,2022-11-08 08:57:46.473999977
SCAI-SENSEI,user_sensei_103,1667897866.674,-751,1724,668,3143,2022-11-08 08:57:46.674000025
SCAI-SENSEI,user_sensei_103,1667897866.874,-835,1805,643,3283,2022-11-08 08:57:46.874000072
SCAI-SENSEI,user_sensei_103,1667897867.074,-895,1822,471,3188,2022-11-08 08:57:47.073999882
SCAI-SENSEI,user_sensei_103,1667897867.274,-843,1799,465,3107,2022-11-08 08:57:47.273999929
SCAI-SENSEI,user_sensei_103,1667897867.474,-843,1785,517,3145,2022-11-08 08:57:47.473999977
SCAI-SENSEI,user_sensei_103,1667897867.674,-804,1892,623,3319,2022-11-08 08:57:47.674000025
SCAI-SENSEI,user_sensei_103,1667897867.874,-878,1717,497,3092,2022-11-08 08:57:47.874000072
SCAI-SENSEI,user_sensei_103,1667897868.074,-775,1785,586,3146,2022-11-08 08:57:48.073999882
SCAI-SENSEI,user_sensei_103,1667897868.274,-784,1789,623,3196,2022-11-08 08:57:48.273999929
SCAI-SENSEI,user_sensei_103,1667897868.474,-728,1859,645,3232,2022-11-08 08:57:48.473999977
SCAI-SENSEI,user_sensei_103,1667897868.674,-755,1790,525,3070,2022-11-08 08:57:48.674000025
SCAI-SENSEI,user_sensei_103,1667897868.874,-746,1827,550,3123,2022-11-08 08:57:48.874000072
SCAI-SENSEI,user_sensei_103,1667897869.074,-780,1794,545,3119,2022-11-08 08:57:49.073999882
SCAI-SENSEI,user_sensei_103,1667897869.274,-805,1793,617,3215,2022-11-08 08:57:49.273999929
SCAI-SENSEI,user_sensei_103,1667897869.474,-769,1798,563,3130,2022-11-08 08:57:49.473999977
SCAI-SENSEI,user_sensei_103,1667897869.674,-845,1721,553,3119,2022-11-08 08:57:49.674000025
SCAI-SENSEI,user_sensei_103,1667897869.874,-862,1718,591,3171,2022-11-08 08:57:49.874000072
SCAI-SENSEI,user_sensei_103,1667897870.074,-787,1731,635,3153,2022-11-08 08:57:50.073999882
SCAI-SENSEI,user_sensei_103,1667897870.274,-915,1708,716,3339,2022-11-08 08:57:50.273999929
SCAI-SENSEI,user_sensei_103,1667897870.474,-769,1694,646,3109,2022-11-08 08:57:50.473999977
SCAI-SENSEI,user_sensei_103,1667897870.674,-851,1738,695,3284,2022-11-08 08:57:50.674000025
SCAI-SENSEI,user_sensei_103,1667897870.874,-791,1766,708,3265,2022-11-08 08:57:50.874000072
SCAI-SENSEI,user_sensei_103,1667897871.074,-927,1639,773,3339,2022-11-08 08:57:51.073999882
SCAI-SENSEI,user_sensei_103,1667897871.274,-872,1683,769,3324,2022-11-08 08:57:51.273999929
SCAI-SENSEI,user_sensei_103,1667897871.474,-852,1667,761,3280,2022-11-08 08:57:51.473999977
SCAI-SENSEI,user_sensei_103,1667897871.674,-898,1670,813,3381,2022-11-08 08:57:51.674000025
SCAI-SENSEI,user_sensei_103,1667897871.874,-874,1656,772,3302,2022-11-08 08:57:51.874000072
SCAI-SENSEI,user_sensei_103,1667897872.074,-880,1675,785,3340,2022-11-08 08:57:52.073999882
SCAI-SENSEI,user_sensei_103,1667897872.274,-873,1662,755,3290,2022-11-08 08:57:52.273999929
SCAI-SENSEI,user_sensei_103,1667897872.474,-875,1671,782,3328,2022-11-08 08:57:52.473999977
SCAI-SENSEI,user_sensei_103,1667897872.674,-852,1663,800,3315,2022-11-08 08:57:52.674000025
SCAI-SENSEI,user_sensei_103,1667897872.874,-871,1627,786,3284,2022-11-08 08:57:52.874000072
SCAI-SENSEI,user_sensei_103,1667897873.074,-903,1638,813,3354,2022-11-08 08:57:53.073999882
SCAI-SENSEI,user_sensei_103,1667897873.274,-897,1646,803,3346,2022-11-08 08:57:53.273999929
SCAI-SENSEI,user_sensei_103,1667897873.474,-885,1645,796,3326,2022-11-08 08:57:53.473999977
SCAI-SENSEI,user_sensei_103,1667897873.674,-854,1653,759,3266,2022-11-08 08:57:53.674000025
SCAI-SENSEI,user_sensei_103,1667897873.874,-761,1550,622,2933,2022-11-08 08:57:53.874000072
SCAI-SENSEI,user_sensei_103,1667897874.074,-416,1011,-382,1809,2022-11-08 08:57:54.073999882
SCAI-SENSEI,user_sensei_103,1667897874.274,-594,2350,-475,3419,2022-11-08 08:57:54.273999929
SCAI-SENSEI,user_sensei_103,1667897874.474,-1372,2583,1007,4962,2022-11-08 08:57:54.473999977
SCAI-SENSEI,user_sensei_103,1667897874.674,-1016,2257,435,3708,2022-11-08 08:57:54.674000025
SCAI-SENSEI,user_sensei_103,1667897874.874,-450,1094,618,2162,2022-11-08 08:57:54.874000072
SCAI-SENSEI,user_sensei_103,1667897875.074,-862,1715,1250,3827,2022-11-08 08:57:55.073999882
SCAI-SENSEI,user_sensei_103,1667897875.274,-800,1517,1217,3534,2022-11-08 08:57:55.273999929
SCAI-SENSEI,user_sensei_103,1667897875.474,-702,1578,1011,3291,2022-11-08 08:57:55.473999977
SCAI-SENSEI,user_sensei_103,1667897875.674,-739,1648,1001,3388,2022-11-08 08:57:55.674000025
